,rank,username,article_link,date,views,creator_club_status,article_cat
12,13,ssonia,https://www.analyticsvidhya.com/blog/2021/06/perform-web-scraping-with-python/,2021-06-18,13457,1,"Beginner,Data Mining,Data Science,Libraries,Project,Python"
13,14,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/style-your-pandas-dataframe-and-make-it-stunning/,2021-06-27,11890,1,"Beginner,Data Exploration,Programming,Project,Python"
14,15,kajal56,https://www.analyticsvidhya.com/blog/2021/06/resume-screening-with-natural-language-processing-in-python/,2021-06-23,10141,1,"Advanced,NLP,Project,Python,Structured Data,Text,Use Cases"
15,16,mohit_tripathi,https://www.analyticsvidhya.com/blog/2021/06/image-processing-using-cnn-a-beginners-guide/,2021-06-21,10031,1,"Advanced,Algorithm,Deep Learning,Image,Image Analysis,Project,Python,Structured Data"
16,17,sarvagyaagrawal,https://www.analyticsvidhya.com/blog/2021/06/support-vector-machine-introduction/,2021-06-19,9083,1,"Algorithm,Beginner,Classification,Machine Learning,Python"
17,18,gunjan28,https://www.analyticsvidhya.com/blog/2021/06/anonymous-or-lambda-functions-in-python-a-beginners-guide/,2021-06-12,9045,1,"Beginner,Programming,Python,Technique"
18,19,neelutiwari,https://www.analyticsvidhya.com/blog/2021/06/sql-for-data-science-a-beginners-guide/,2021-06-11,8997,1,"Beginner,Data Engineering,Python,SQL"
19,20,ashish@choudhary,https://www.analyticsvidhya.com/blog/2021/06/advanced-python-data-visualization-libraries-plotly/,2021-06-25,8717,1,"Beginner,Data Exploration,Data Visualization,Libraries,Machine Learning,Python,Structured Data"
20,21,jitu7,https://www.analyticsvidhya.com/blog/2021/06/building-a-convolutional-neural-network-using-tensorflow-keras/,2021-06-22,8639,0,"Beginner,Data Science,Deep Learning,Python,Unstructured Data"
21,22,harsh_dhamecha,https://www.analyticsvidhya.com/blog/2021/06/a-detailed-explanation-of-gan-with-implementation-using-tensorflow-and-keras/,2021-06-13,8519,1,"Advanced,Deep Learning,Image,Project,Python,Unstructured Data,Unsupervised"
22,23,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/exploring-mito-automatic-python-code-for-spreadsheet-operations/,2021-06-20,7531,1,"Beginner,Data Exploration,Libraries,Programming,Python,Structured Data"
23,24,Arnab1408,https://www.analyticsvidhya.com/blog/2021/06/complete-guide-on-how-to-use-autoencoders-in-python/,2021-06-26,7502,1,"Advanced,Computer Vision,Image Analysis,Project,Python"
24,25,priya603,https://www.analyticsvidhya.com/blog/2021/06/visualizing-sounds-librosa/,2021-06-13,7464,1,"Advanced,Audio,Data Engineering,Data Exploration,Data Visualization,Machine Learning,Python,Unstructured Data"
25,26,bohra.yash27@gmail.com,https://www.analyticsvidhya.com/blog/2021/06/the-challenge-of-vanishing-exploding-gradients-in-deep-neural-networks/,2021-06-18,7140,0,"Advanced,Algorithm,Deep Learning,Project,Python,Structured Data,Supervised"
26,27,HimanshuBajpai,https://www.analyticsvidhya.com/blog/2021/06/embed-powerbi-report-in-jupyter-notebook-using-powerbiclient/,2021-06-18,6896,0,"Data Engineering,Intermediate,Libraries,Power BI,python"
27,28,shraddhashekhar,https://www.analyticsvidhya.com/blog/2021/06/lstm-for-text-classification/,2021-06-14,6278,1,"Advanced,Classification,NLP,Project,Python,Structured Data,Text"
28,29,deepanshi6,https://www.analyticsvidhya.com/blog/2021/06/text-preprocessing-in-nlp-with-python-codes/,2021-06-25,5895,1,"Data Science,Intermediate,Machine Learning,NLP,Python,Text,Unstructured Data"
29,30,jrath2001,https://www.analyticsvidhya.com/blog/2021/06/mlops-now-made-simple-using-mlflow/,2021-06-10,5758,1,"Advanced,Machine Learning"
30,31,chirag676,https://www.analyticsvidhya.com/blog/2021/06/25-questions-to-test-your-skills-on-linear-regression-algorithm/,2021-06-09,5723,1,"Beginner,Data Science,Interviews,Linear Regression,Regression,Supervised"
31,32,rahul105,https://www.analyticsvidhya.com/blog/2021/06/ridgeline-plots-visualize-data-with-a-joy/,2021-06-25,5650,1,"Beginner,Data Exploration,Data Visualization,Libraries,Python,Structured Data"
32,33,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/06/text-analytics-of-resume-dataset-with-nlp/,2021-06-08,5523,1,"Beginner,Data Science,Machine Learning,NLP,Python,Text"
33,34,Nishtha11,https://www.analyticsvidhya.com/blog/2021/06/pre-processing-of-text-data-in-nlp/,2021-06-15,5415,0,"Beginner,Listicle,NLP,python,Text"
34,35,barney6,https://www.analyticsvidhya.com/blog/2021/06/linear-predictive-models-part-1/,2021-06-24,5375,1,"Beginner,Data Science,Machine Learning,Python,Regression"
35,36,agrawal@71,https://www.analyticsvidhya.com/blog/2021/06/develop-your-first-image-classification-project-with-convolutional-neural-network/,2021-06-08,5294,1,"Advanced,Computer Vision,Data Science,Deep Learning,Image,Project,Unsupervised"
36,37,shri_varsheni,https://www.analyticsvidhya.com/blog/2021/06/why-and-how-to-use-bert-for-nlp-text-classification/,2021-06-22,5214,1,"Advanced,NLP,Project,Python,Text,Unstructured Data"
37,38,agrawal@71,https://www.analyticsvidhya.com/blog/2021/06/build-book-recommendation-system-unsupervised-learning-project/,2021-06-27,5185,1,"Advanced,Data Science,Pandas,Python,python,Recommendation,Unsupervised"
38,39,premanand17,https://www.analyticsvidhya.com/blog/2021/06/artificial-neural-networks-better-understanding/,2021-06-14,4828,1,"Beginner,Deep Learning,Python"
39,40,aman_preet_singh_gulati,https://www.analyticsvidhya.com/blog/2021/06/pan-card-fraud-detection-using-computer-vision/,2021-06-11,4573,1,"Advanced,Computer Vision,Image,Image Analysis,Programming,Project,Python,Structured Data,Unstructured Data"
40,41,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/plotting-visualizations-out-of-pandas-dataframes/,2021-06-26,4520,1,"Beginner,Data Exploration,Data Visualization,Libraries,Pandas,Python,Structured Data"
41,42,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/06/web-scraping-with-python-beautifulsoup-library/,2021-06-15,4447,1,"Data Mining,Intermediate,Libraries,Programming,Project,Python"
42,43,gunjan28,https://www.analyticsvidhya.com/blog/2021/06/twitter-sentiment-analysis-a-nlp-use-case-for-beginners/,2021-06-11,4194,1,"Beginner,Classification,Data Exploration,Machine Learning,Project"
43,44,ashwini10,https://www.analyticsvidhya.com/blog/2021/06/mlops-a-beginners-guide-to-machine-learning-operations/,2021-06-30,3903,0,"Advanced,Data Science,Machine Learning,MLops,Model Deployment"
44,45,aashi73,https://www.analyticsvidhya.com/blog/2021/06/complete-guide-to-data-types-in-statistics-for-data-science/,2021-06-08,3891,1,"Beginner,Data Exploration,Statistics"
45,46,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/how-to-load-kaggle-datasets-directly-into-google-colab/,2021-06-19,3679,1,"Beginner,Data Science,Database,Project,Resource"
46,47,ashish@choudhary,https://www.analyticsvidhya.com/blog/2021/06/feature-selection-using-statistical-tests/,2021-06-27,3646,1,"Beginner,Machine Learning,Probability,Python,Statistics,Structured Data"
47,48,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-8-step-by-step-guide-to-master-nlp-useful-natural-language-processing-tasks/,2021-06-22,3521,1,"Beginner,Data Science,NLP,Python,Text,Word Embeddings"
48,49,Chiraggoyal229,https://www.analyticsvidhya.com/blog/2021/06/part-2-step-by-step-guide-to-master-natural-language-processing-nlp-in-python/,2021-06-15,3406,0,"Advanced,NLP,Project,Python,Text,Unstructured Data"
49,50,mala_deep,https://www.analyticsvidhya.com/blog/2021/06/cohort-analysis-using-python-for-beginners-a-hands-on-tutorial/,2021-06-07,3398,0,"Beginner,Machine Learning,Project,Python"
50,51,gaurav_here,https://www.analyticsvidhya.com/blog/2021/06/10-amazing-open-source-projects-for-machine-learning-enthusiasts/,2021-06-14,3362,1,"Beginner,Career,Profile Building,Project,Python,Resource"
51,52,vishesharora,https://www.analyticsvidhya.com/blog/2021/06/how-to-clean-data-in-python-for-machine-learning/,2021-06-09,3137,1,"Beginner,Data Cleaning,Data Science,Pandas"
52,53,premanand17,https://www.analyticsvidhya.com/blog/2021/06/support-vector-machine-better-understanding/,2021-06-16,3133,1,"Advanced,Algorithm,Classification,Machine Learning,Maths,Regression,Structured Data,Supervised"
53,54,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/06/build-web-app-instantly-for-machine-learning-using-streamlit/,2021-06-21,2967,1,"Advanced,Data Engineering,Data Visualization,Project,Python,Streamlit"
54,55,kashish1,https://www.analyticsvidhya.com/blog/2021/06/tricks-for-data-visualization-plotly-library/,2021-06-28,2965,1,"Beginner,Data Exploration,Data Visualization,Libraries,Project,Python,Structured Data"
55,56,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-10-step-by-step-guide-to-master-nlp-named-entity-recognition/,2021-06-23,2945,1,"Advanced,NLP,Project,Python,Text,Unsupervised"
56,57,megha152,https://www.analyticsvidhya.com/blog/2021/06/how-to-perform-basic-text-analysis-without-training-dataset/,2021-06-16,2739,0,"Advanced,Algorithm,NLP,Project,Python,Text"
57,58,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/06/spotify-recommendation-system-using-pyspark-and-kafka-streaming/,2021-06-23,2589,1,"Advanced,Data Engineering,Python"
58,59,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-12-step-by-step-guide-to-master-nlp-grammar-in-nlp/,2021-06-24,2377,1,"Advanced,NLP"
59,60,Chiraggoyal229,https://www.analyticsvidhya.com/blog/2021/06/part-3-step-by-step-guide-to-master-natural-language-processing-nlp-in-python/,2021-06-15,2281,0,"Advanced,NLP,Project,Python,Text"
60,61,mrinal41,https://www.analyticsvidhya.com/blog/2021/06/breast-cancer-classification-using-deep-learning/,2021-06-09,2266,1,"Classification,Deep Learning,Healthcare,Intermediate,Object Detection,Python,Unstructured Data"
61,62,Chiraggoyal229,https://www.analyticsvidhya.com/blog/2021/06/part-1-step-by-step-guide-to-master-natural-language-processing-nlp-in-python/,2021-06-15,2251,0,"Advanced,NLP,Project,Python,Text"
62,63,Gargeya,https://www.analyticsvidhya.com/blog/2021/06/yolo-object-detection-in-seconds-cvlib/,2021-06-26,2048,1,"Advanced,Computer Vision,Deep Learning,Libraries"
63,64,mahisha_patel,https://www.analyticsvidhya.com/blog/2021/06/brain-tumor-detection-and-localization-using-deep-learning-part-1/,2021-06-06,2043,0,"Advanced,Artificial Intelligence,Computer Vision,Deep Learning,Image,Project,Python,Supervised,Unstructured Data"
64,65,ananyacy,https://www.analyticsvidhya.com/blog/2021/06/what-is-a-business-analyst-and-what-is-the-role-of-a-business-analyst-in-a-company/,2021-06-28,2003,1,"Beginner,Business Analytics,Career,Jobs - Business Analytics"
65,66,chaodeyu,https://www.analyticsvidhya.com/blog/2021/06/playing-super-mario-bros-with-deep-reinforcement-learning/,2021-06-11,2001,0,"Advanced,Algorithm,Artificial Intelligence,Deep Learning,Reinforcement Learning"
66,67,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/06/mlops-machine-learning-operations-in-microsoft-azure/,2021-06-28,1851,1,"Advanced,AzureML,Cloud Computing,Machine Learning,MLops,Project,Python"
67,68,bala1603,https://www.analyticsvidhya.com/blog/2021/06/build-your-own-ai-chatbot-from-scratch/,2021-06-16,1849,0,"chatbot,Deep Learning,Intermediate,NLP,Project,Python,Text"
68,69,dmoonat,https://www.analyticsvidhya.com/blog/2021/06/beginners-guide-to-machine-learning-explainability/,2021-06-17,1807,1,"Intermediate,Machine Learning"
69,70,rawal@71,https://www.analyticsvidhya.com/blog/2021/06/must-known-techniques-for-text-preprocessing-in-nlp/,2021-06-14,1781,1,"Advanced,Listicle,NLP,Python,Text,Unstructured Data"
70,71,gunjan28,https://www.analyticsvidhya.com/blog/2021/06/10-examples-you-should-try-to-master-list-comprehensions-in-python/,2021-06-12,1777,1,"Beginner,Programming,Python,Technique"
71,72,Simi_Sanya,https://www.analyticsvidhya.com/blog/2021/06/build-user-interface-with-gradio-for-your-deep-learning-project/,2021-06-17,1706,1,"Data Science,Deep Learning,Intermediate,Libraries,Programming,Project"
72,73,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/06/data-manipulation-using-pandas-essential-functionalities-of-pandas-you-need-to-know/,2021-06-18,1699,1,"Beginner,Data Cleaning,Data Exploration,Data Science,Libraries,Pandas,python,Structured Data"
73,74,shakhadri313,https://www.analyticsvidhya.com/blog/2021/06/implementation-of-yolov3-simplified/,2021-06-11,1674,1,"Advanced,Computer Vision,Deep Learning,Image,Object Tracking,Python,Unstructured Data"
74,75,saptarshi41,https://www.analyticsvidhya.com/blog/2021/06/personalized-medicine-through-machine-learning/,2021-06-17,1619,1,"Advanced,Artificial Intelligence,Data Science,Healthcare,Machine Learning"
75,76,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-6-step-by-step-guide-to-master-nlp-word2vec/,2021-06-21,1586,1,"Beginner,Data Cleaning,NLP,Python,Text,Unstructured Data,Word Embeddings"
76,77,shakhadri313,https://www.analyticsvidhya.com/blog/2021/06/build-resnet-from-scratch-with-python/,2021-06-07,1583,1,"Advanced,Deep Learning,PyTorch"
77,78,Nishtha11,https://www.analyticsvidhya.com/blog/2021/06/functions-in-python-that-every-data-science-beginners-should-begin-learning-with/,2021-06-20,1548,0,"Beginner,Programming,Python"
78,79,priyal27,https://www.analyticsvidhya.com/blog/2021/06/automated-spam-e-mail-detection-modelusing-common-nlp-tasks/,2021-06-29,1423,1,"Advanced,Classification,NLP,Project,Python,Structured Data,Supervised,Text"
79,80,dmoonat,https://www.analyticsvidhya.com/blog/2021/06/cowin-notify-c-build-notification-service-for-availability-of-vaccination-slots/,2021-06-11,1377,1,"Advanced,Machine Learning,Programming,Python"
80,81,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/deploying-ml-models-as-api-using-fastapi-and-heroku/,2021-06-30,1360,1,"Advanced,Data Engineering,Model Deployment,Project,Python"
81,82,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/exploring-pandas-dataframe-with-d-tale/,2021-06-24,1349,1,"Beginner,Data Exploration,Data Science,Data Visualization,Libraries"
82,83,tirtha_mech89,https://www.analyticsvidhya.com/blog/2021/06/simplest-way-to-do-object-detection-on-custom-datasets/,2021-06-10,1254,0,"Advanced,Computer Vision,Deep Learning,Image,Libraries,Python,PyTorch,Unstructured Data,Unsupervised"
83,84,aashi73,https://www.analyticsvidhya.com/blog/2021/06/complete-guide-to-chebyshevs-inequality-and-wlln-in-statistics-for-data-science/,2021-06-07,1204,1,"Beginner,Maths,Statistics"
84,85,saikat365,https://www.analyticsvidhya.com/blog/2021/06/the-10-most-frequently-used-functions-you-must-know-to-manipulate-pandas-dataframe/,2021-06-13,1192,0,"Beginner,Libraries,Machine Learning,Pandas,Python,Structured Data"
85,86,aashi73,https://www.analyticsvidhya.com/blog/2021/06/end-to-end-machine-learning-use-case-for-beginners/,2021-06-10,1127,1,"Beginner,Data Exploration,Linear Regression,Machine Learning,Python,Regression,Structured Data"
86,87,vaishshells,https://www.analyticsvidhya.com/blog/2021/06/sign-language-recognition-for-computer-vision-enthusiasts/,2021-06-07,1093,0,"Advanced,Computer Vision,Project,Python"
87,88,sourav6458,https://www.analyticsvidhya.com/blog/2021/06/5-hyperparameter-optimization-techniques-you-must-know-for-data-science-hackathons/,2021-06-09,1091,0,"Advanced,Machine Learning,Python"
88,89,harsh_dhamecha,https://www.analyticsvidhya.com/blog/2021/06/deploy-your-ml-dl-streamlit-application-on-heroku/,2021-06-29,1079,1,"Advanced,Data Engineering,Deep Learning,Machine Learning,Programming,Project,Python,Streamlit,Supervised"
89,90,aashi73,https://www.analyticsvidhya.com/blog/2021/06/complete-guide-to-moment-generating-functions-in-statistics-for-data-science/,2021-06-09,999,1,"Beginner,Probability,Statistics"
90,91,Simi_Sanya,https://www.analyticsvidhya.com/blog/2021/06/offline-data-augmentation-for-multiple-images/,2021-06-14,946,1,"Advanced,Computer Vision,Image,Image Analysis,Project,Python"
91,92,r-sajal,https://www.analyticsvidhya.com/blog/2021/06/guide-to-data-visualization-with-python-part-1/,2021-06-26,944,1,"Beginner,Data Exploration,Data Visualization,Machine Learning,Python"
92,93,chaodeyu,https://www.analyticsvidhya.com/blog/2021/06/predict-future-sales-using-xgbregressor/,2021-06-12,912,0,"Algorithm,Intermediate,Machine Learning,Project,Python"
93,94,yasho_191,https://www.analyticsvidhya.com/blog/2021/06/decoding-the-chi-square-test%e2%80%8a-%e2%80%8ause-implementation-and-visualization/,2021-06-12,902,0,"Beginner,Maths,Python,Statistics"
94,95,suvarna3,https://www.analyticsvidhya.com/blog/2021/06/linear-regression-in-machine-learning/,2021-06-09,877,1,"Beginner,Machine Learning,Project,Python,Regression,Structured Data,Supervised"
95,96,harsh_dhamecha,https://www.analyticsvidhya.com/blog/2021/06/data-visualization-techniques-you-must-know-as-a-data-scientist/,2021-06-20,870,1,"Beginner,Data Visualization,Project,Python,Structured Data,Technique"
96,97,neelutiwari,https://www.analyticsvidhya.com/blog/2021/06/data-cleaning-using-pandas/,2021-06-14,848,1,"Beginner,Data Cleaning,Programming,Python,Structured Data"
97,98,nilabhnishchhal,https://www.analyticsvidhya.com/blog/2021/06/15-pandas-functions-to-replicate-basic-sql-queries-in-python/,2021-06-14,771,1,"Beginner,Data Exploration,Libraries,Pandas,Programming,Python,Structured Data"
98,99,santhosh_tsk,https://www.analyticsvidhya.com/blog/2021/06/natural-language-processing-sentiment-analysis-using-lstm/,2021-06-22,733,0,"Advanced,Data Science,NLP,Project,Python,Text"
99,100,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-14-step-by-step-guide-to-master-nlp-basics-of-topic-modelling/,2021-06-25,723,1,"Advanced,Algorithm,NLP,Project,Python,Text"
100,101,vikramr008,https://www.analyticsvidhya.com/blog/2021/06/data-engineering-concepts-and-importance/,2021-06-14,710,0,"Beginner,Business Intelligence,Career,Data Engineering,Job Roles,Jobs- Big Data"
101,102,aman_preet_singh_gulati,https://www.analyticsvidhya.com/blog/2021/06/text-detection-from-images-using-easyocr-hands-on-guide/,2021-06-22,707,1,"Advanced,Computer Vision,Image,Image Analysis,NLP,Project,Python,Unstructured Data"
102,103,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/06/genetic-algorithms-and-its-use-cases-in-machine-learning/,2021-06-15,686,1,"Advanced,Machine Learning,Project,Python"
103,104,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/06/generate-reports-using-pandas-profiling-deploy-using-streamlit/,2021-06-25,645,1,"Data Engineering,Data Exploration,Data Visualization,Intermediate,Listicle,Machine Learning,Project,Python,Streamlit,Structured Data,Technique"
104,105,sruthi94,https://www.analyticsvidhya.com/blog/2021/06/understanding-random-forest/,2021-06-17,642,0,"Advanced,Algorithm,Classification,Machine Learning,Project,Python,Regression,Structured Data,Supervised"
105,106,chirag676,https://www.analyticsvidhya.com/blog/2021/06/complete-guide-to-working-with-csv-files-in-python-with-pandas/,2021-06-10,632,1,"Beginner,Listicle,Pandas,Programming,Python,Structured Data,Technique"
106,107,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-4-step-by-step-guide-to-master-natural-language-processing-in-python/,2021-06-20,612,1,"Beginner,Data Cleaning,NLP,Python,Text"
107,108,illiyassha,https://www.analyticsvidhya.com/blog/2021/06/time-series-analysis-a-comprehensive-guide/,2021-06-29,609,1,"Beginner,Data Cleaning,Pandas,Python,Time Series"
108,108,gaurav_here,https://www.analyticsvidhya.com/blog/2021/06/if-you-are-a-python-programmer-avoid-these-mistakes/,2021-06-11,608,1,"Beginner,Programming,Python"
109,110,shashank_singhal_1,https://www.analyticsvidhya.com/blog/2021/06/the-missing-data-understand-the-concept-behind/,2021-06-16,606,0,"Beginner,Data Cleaning,Data Science,Machine Learning"
110,111,swapnil-vishwakarma,https://www.analyticsvidhya.com/blog/2021/06/all-you-need-to-know-about-convolutional-neural-networks/,2021-06-16,601,1,"Beginner,Computer Vision,Deep Learning,python,Unstructured Data"
111,112,karanpradhan266,https://www.analyticsvidhya.com/blog/2021/06/5-challenges-of-machine-learning/,2021-06-26,576,1,"Artificial Intelligence,Beginner,Listicle,Machine Learning"
112,112,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/06/dimensionality-reduction-using-autoencoders-in-python/,2021-06-15,575,1,"Advanced,Autoencoder,Machine Learning,Project,Python,python"
113,114,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-13-step-by-step-guide-to-master-nlp-regular-expressions/,2021-06-25,570,1,"Advanced,NLP,Python,Text,Unstructured Data"
114,115,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-7-step-by-step-guide-to-master-nlp-word-embedding/,2021-06-22,567,1,"Data Science,Intermediate,NLP,Python,Text,Unstructured Data"
115,115,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-11-step-by-step-guide-to-master-nlp-syntactic-analysis/,2021-06-24,567,1,"Advanced,NLP"
116,115,tanaya17,https://www.analyticsvidhya.com/blog/2021/06/linear-regression-using-neural-networks/,2021-06-25,566,0,"Advanced,Deep Learning,Maths,Project,Python,Regression,Structured Data,Supervised"
117,118,Chiraggoyal229,https://www.analyticsvidhya.com/blog/2021/06/part-3-step-by-step-guide-to-nlp-text-cleaning-and-preprocessing/,2021-06-15,555,0,"Advanced,NLP,Project,Python,Text"
118,119,mayank7185,https://www.analyticsvidhya.com/blog/2021/06/understand-all-about-amazon-redshift/,2021-06-10,513,1,"Cloud Computing,Data Engineering,Intermediate,Resource"
119,119,ajay_vardhan,https://www.analyticsvidhya.com/blog/2021/06/predictive-modelling-rain-prediction-in-australia-with-python/,2021-06-29,512,0,"Beginner,Classification,Data Exploration,Data Science,Machine Learning,Project,Python,Use Cases"
120,121,amruta99,https://www.analyticsvidhya.com/blog/2021/06/learn-how-to-implement-face-recognition-using-opencv-with-python/,2021-06-28,487,1,"Computer Vision,Image,Intermediate,Libraries,Project,Python,Unstructured Data"
121,121,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/06/optical-character-recognitionocr-with-tesseract-opencv-and-python/,2021-06-24,486,1,"Advanced,Computer Vision,Image,Image Analysis,Object Detection,Project,Python,Structured Data,Supervised"
122,122,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/06/nlp-application-named-entity-recognition-ner-in-python-with-spacy/,2021-06-16,485,1,"Advanced,NLP,Project,Python,Structured Data,Text"
123,124,dishaa.agarwal,https://www.analyticsvidhya.com/blog/2021/06/cross-sell-prediction-solution-to-analytics-vidya/,2021-06-14,480,1,"Beginner,Classification,Machine Learning,Project,Python,Structured Data"
124,125,mohit918,https://www.analyticsvidhya.com/blog/2021/06/classification-problem-relation-between-sensitivity-specificity-and-accuracy/,2021-06-22,478,0,"Beginner,Classification,Machine Learning,Maths"
125,126,ananda290,https://www.analyticsvidhya.com/blog/2021/06/app-building-and-deployment-of-a-predictive-model-using-flask-and-aws/,2021-06-20,456,1,"Advanced,Banking,Classification,Data Science,Model Deployment,Project,Python,Structured Data"
126,127,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-9-step-by-step-guide-to-master-nlp-semantic-analysis/,2021-06-23,452,1,"Advanced,NLP,Project,Python,Technique,Unstructured Data"
127,127,cb7705,https://www.analyticsvidhya.com/blog/2021/06/confusion-matrix-for-multi-class-classification/,2021-06-24,451,0,"Beginner,Classification,Machine Learning,Python"
128,129,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-6-step-by-step-guide-to-master-natural-language-processing-nlp-in-python/,2021-06-21,438,1,"Beginner,Data Cleaning,NLP,Python,Text,Unstructured Data,Word Embeddings"
129,130,Gargeya,https://www.analyticsvidhya.com/blog/2021/06/deep-dive-into-time-series-data-with-single-neuron/,2021-06-24,427,1,"Advanced,Deep Learning,Machine Learning,Project,Python,Structured Data,Time Series Forecasting"
130,130,yasho_191,https://www.analyticsvidhya.com/blog/2021/06/getting-started-with-machine-learning%e2%80%8a-%e2%80%8aimplementing-linear-regression-from-scratch/,2021-06-16,426,0,"Beginner,Machine Learning,Maths,Python,Statistics,Structured Data,Supervised,Technique"
131,132,shri_varsheni,https://www.analyticsvidhya.com/blog/2021/06/evaluate-your-model-metrics-for-image-classification-and-detection/,2021-06-21,418,1,"Advanced,Classification,Computer Vision,Maths,Object Detection"
132,133,Gargeya,https://www.analyticsvidhya.com/blog/2021/06/make-your-images-clearer-and-crisper-denoise-images-with-autoencoders/,2021-06-24,410,1,"Advanced,Computer Vision,Image,Image Analysis,Project,Python,Structured Data,Unsupervised"
133,133,agrawal@71,https://www.analyticsvidhya.com/blog/2021/07/build-a-simple-chatbot-using-python-and-nltk/,2021-07-01,409,1,"Advanced,Libraries,Machine Learning,Project,Python,Text,Unstructured Data,Unsupervised"
134,134,akshay_hari,https://www.analyticsvidhya.com/blog/2021/06/deploying-pyspark-machine-learning-models-with-google-cloud-platform-using-streamlit/,2021-06-27,408,0,"Advanced,Cloud Computing,Data Engineering,Project,Python,Regression,Spark,Streamlit"
135,136,chirag676,https://www.analyticsvidhya.com/blog/2021/06/part-20-step-by-step-guide-to-master-nlp-information-retrieval/,2021-06-29,406,1,"Advanced,NLP,Text"
136,136,amruta99,https://www.analyticsvidhya.com/blog/2021/06/learn-to-develop-a-simple-chatbot-using-python-and-deep-learning/,2021-06-22,405,1,"Advanced,NLP,Project,Python,Text,Unstructured Data,Use Cases"
137,137,AnirbanChakraborty06,https://www.analyticsvidhya.com/blog/2021/06/bootstrap-the-source-of-its-power/,2021-06-25,404,0,"Algorithm,Data Science,Intermediate,Machine Learning"
