,rank,username,article_link,date,views,creator_club_status,article_cat
38,39,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/07/python-on-frontend-ml-models-web-interface-with-brython/,2021-07-14,7936,1,"Advanced,Cloud Computing,Data Science,Machine Learning,Model Deployment,Project"
39,40,mimi6,https://www.analyticsvidhya.com/blog/2021/07/kubernetes-lets-learn-the-basic-tenets/,2021-07-10,7712,1,"Advanced,Cloud Computing,kubernetes,Model Deployment"
40,41,akilaram,https://www.analyticsvidhya.com/blog/2021/07/a-simple-start-with-natural-language-processing/,2021-07-12,7398,1,"Beginner,Data Science,NLP,Python,Unstructured Data"
41,42,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/07/must-know-text-operations-in-python-before-you-dive-into-nlp/,2021-07-21,7281,1,"Beginner,Programming,Python"
42,43,vishesharora,https://www.analyticsvidhya.com/blog/2021/08/understand-the-basics-of-data-analysis-using-sql/,2021-08-10,7004,1,"Beginner,Data Engineering,Data Exploration,Programming,SQL,Structured Data"
43,44,Hardikkumar,https://www.analyticsvidhya.com/blog/2021/07/interactive-data-visualization-plots-with-plotly-and-cufflinks/,2021-07-23,6893,1,"Beginner,Data Visualization,Libraries,Programming,Python,Structured Data"
44,45,vishesharora,https://www.analyticsvidhya.com/blog/2021/08/important-sql-functions-every-data-analyst-must-know/,2021-08-01,6878,1,"Beginner,Data Exploration,SQL,Structured Data"
45,46,pinak4,https://www.analyticsvidhya.com/blog/2021/07/building-a-gold-price-prediction-model-using-machine-learning/,2021-07-17,6526,1,"Beginner,Machine Learning,Python"
46,47,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/07/performing-computer-vision-task-with-opencv-and-python/,2021-07-19,6236,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python"
47,48,ashish@choudhary,https://www.analyticsvidhya.com/blog/2021/07/regular-expressions-in-python-a-beginners-guide/,2021-07-23,6197,1,"Beginner,Libraries,Programming,Python,Text"
48,49,aishwarya283,https://www.analyticsvidhya.com/blog/2021/08/a-guide-to-perform-5-important-steps-of-nlp-using-python/,2021-08-17,6135,0,"Beginner,Data Science,NLP,Pandas,Python"
49,50,padhma,https://www.analyticsvidhya.com/blog/2021/07/analyzing-popular-repositories-on-github/,2021-07-12,5960,1,"Beginner,Data Exploration,Data Visualization,Github,Python"
50,51,Hardikkumar,https://www.analyticsvidhya.com/blog/2021/07/beginners-guide-for-data-analysis-using-sql/,2021-07-13,5824,1,"Advanced,Data Engineering,Libraries,Programming,Python,SQL"
51,52,radathan1,https://www.analyticsvidhya.com/blog/2021/08/a-hands-on-guide-to-build-your-first-convolutional-neural-network-model/,2021-08-12,5644,1,"Beginner,Computer Vision,Deep Learning,Python,PyTorch,Unstructured Data"
52,53,chirag676,https://www.analyticsvidhya.com/blog/2021/07/image-denoising-using-autoencoders-a-beginners-guide-to-deep-learning-project/,2021-07-25,5572,1,"Advanced,Autoencoder,Computer Vision,Deep Learning,Image,Python,Unsupervised"
53,54,chirag676,https://www.analyticsvidhya.com/blog/2021/07/how-to-choose-an-appropriate-ml-algorithm-data-science-projects/,2021-07-07,5528,1,"Algorithm,Beginner,Data Science,Machine Learning"
54,55,shakhadri313,https://www.analyticsvidhya.com/blog/2021/07/facial-landmark-detection-simplified-with-opencv/,2021-07-06,5509,1,"Advanced,Computer Vision,Image,Project,Python"
55,56,yash836,https://www.analyticsvidhya.com/blog/2021/08/ensemble-stacking-for-machine-learning-and-deep-learning/,2021-08-13,5408,1,"Intermediate,Machine Learning,Project,Python"
56,57,agrawal@71,https://www.analyticsvidhya.com/blog/2021/07/basic-statistics-concepts-for-machine-learning-newbies/,2021-07-25,5392,1,"Beginner,Data Exploration,Data Science,Pandas,Probability,Python,Statistics"
57,58,PrashantSharma16,https://www.analyticsvidhya.com/blog/2021/08/data-types-in-python-you-need-to-know-at-the-beginning-of-your-data-science-journey/,2021-08-03,5373,0,"Beginner,Programming,Python"
58,59,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/08/sentiment-analysis-using-bidirectional-stacked-lstm/,2021-08-12,5347,1,"Advanced,Deep Learning,NLP,Project,Python,Unstructured Data"
59,60,pavankalyan9065,https://www.analyticsvidhya.com/blog/2021/08/5-cool-web-scraping-tools-to-collect-data-for-your-next-project/,2021-08-02,5277,1,"Beginner,Data Mining,Listicle,Programming,Python,Technique"
60,61,chirag676,https://www.analyticsvidhya.com/blog/2021/07/12-matrix-operations-you-should-know-while-starting-your-deep-learning-journey/,2021-07-09,5202,1,"Advanced,Deep Learning,Programming,Python"
61,62,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/08/a-beginners-guide-to-machine-learning-binary-classification-of-legendary-pokemon-using-multiple-ml-algorithms/,2021-08-06,5175,1,"Classification,Intermediate,Machine Learning,Project,Python,Structured Data,Supervised"
62,63,b_95_ankita2140664,https://www.analyticsvidhya.com/blog/2021/08/complete-guide-on-how-to-learn-scikit-learn-for-data-science/,2021-08-19,5037,0,"Advanced,Libraries,Machine Learning,Python"
63,64,akshara_416,https://www.analyticsvidhya.com/blog/2021/07/anomaly-detection-using-isolation-forest-a-complete-guide/,2021-07-26,5029,0,"Intermediate,Machine Learning,Project,Python,Structured Data"
64,65,anshul508,https://www.analyticsvidhya.com/blog/2021/07/practical-applications-of-linear-regression-models/,2021-07-19,4680,0,"Intermediate,Linear Regression,Machine Learning,Python,Regression,Supervised"
65,66,ssonia,https://www.analyticsvidhya.com/blog/2021/07/age-and-gender-detection-using-deep-learning/,2021-07-27,4678,1,"Advanced,Computer Vision,Deep Learning,Project,Python,Unstructured Data"
66,67,kavita65,https://www.analyticsvidhya.com/blog/2021/07/how-much-mathematics-do-you-need-to-know-for-machine-learning/,2021-07-29,4628,1,"Beginner,Machine Learning,Maths"
67,68,ayush417,https://www.analyticsvidhya.com/blog/2021/08/getting-started-with-object-tracking-using-opencv/,2021-08-04,4594,0,"Advanced,Computer Vision,Image,Programming,Python"
68,69,Chrisx10,https://www.analyticsvidhya.com/blog/2021/07/roadmap-to-clear-azure-dp-100-designing-and-implementing-a-data-science-solution-on-azure/,2021-07-10,4487,1,"Advanced,Azure,Cloud Computing,Data Science"
69,70,radathan1,https://www.analyticsvidhya.com/blog/2021/07/absolute-beginners-series-to-implement-neural-networks-part-1/,2021-07-22,4235,1,"Advanced,Deep Learning,Maths"
70,71,eugeniaring,https://www.analyticsvidhya.com/blog/2021/08/a-simple-introduction-to-web-scraping-with-beautiful-soup/,2021-08-13,4220,1,"Beginner,Data Mining,Libraries,Programming,Python"
71,72,Arnab1408,https://www.analyticsvidhya.com/blog/2021/08/how-to-add-watermark-on-images-using-opencv-in-python/,2021-08-18,4162,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unstructured Data,Unsupervised"
72,73,harshchan,https://www.analyticsvidhya.com/blog/2021/08/understanding-linear-regression-with-mathematical-insights/,2021-08-17,4138,0,"Algorithm,Beginner,Machine Learning,Maths,Supervised"
73,74,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/07/some-advanced-opencv-operations-for-your-computer-vision-project/,2021-07-22,4063,1,"Beginner,Computer Vision,Libraries,Programming,Python"
74,75,pavankalyan9065,https://www.analyticsvidhya.com/blog/2021/07/feature-engineering-techniques-to-follow-in-machine-learning/,2021-07-20,4028,1,"Beginner,Data Cleaning,Machine Learning,Pandas,Python"
75,76,ashish@choudhary,https://www.analyticsvidhya.com/blog/2021/07/15-most-important-features-of-scikit-learn/,2021-07-15,4002,1,"Beginner,Data Science,Libraries,Machine Learning,Python"
76,77,anshul508,https://www.analyticsvidhya.com/blog/2021/08/conceptual-understanding-of-logistic-regression-for-data-science-beginners/,2021-08-03,3965,0,"Algorithm,Beginner,Classification,Machine Learning,Maths,Regression,Statistics"
77,78,shivani46,https://www.analyticsvidhya.com/blog/2021/08/the-identifying-the-language-using-nlp/,2021-08-05,3897,1,"Beginner,Machine Learning,NLP,Project,Python,Text"
78,79,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/kmeans-clustering/,2021-08-08,3845,1,"Beginner,Clustering,Data Science,Machine Learning,python"
79,80,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/08/explore-the-magic-methods-in-python/,2021-08-09,3788,1,"Beginner,Programming,Python"
80,81,Arnab1408,https://www.analyticsvidhya.com/blog/2021/08/differences-between-python-3-10-and-python-3-9-which-you-need-to-know/,2021-08-16,3615,1,"Beginner,Programming,Python"
81,82,Srivignesh_R,https://www.analyticsvidhya.com/blog/2021/08/text-generation-using-bidirectional-lstm-a-walk-through-in-tensorflow/,2021-08-15,3475,1,"Advanced,NLP,Project,Python,Text,Unstructured Data"
82,82,aditya2968,https://www.analyticsvidhya.com/blog/2021/08/beginners-web-scraping-project-web-scraping-subreddit-step-by-step/,2021-08-17,3474,0,"Beginner,Data Mining,Project,Python,Unstructured Data"
83,84,datanator,https://www.analyticsvidhya.com/blog/2021/07/implementing-lstm-for-human-activity-recognition-using-smartphone-accelerometer-data/,2021-07-24,3388,0,"Advanced,Classification,Deep Learning,Project,Python,Structured Data"
84,85,shivani46,https://www.analyticsvidhya.com/blog/2021/08/email-spam-detection-a-comparative-analysis-of-4-machine-learning-models/,2021-08-07,3230,1,"Advanced,Machine Learning,NLP,Project,Python,Text,Unstructured Data"
85,86,ashish0765,https://www.analyticsvidhya.com/blog/2021/07/streamlit-quickly-turn-your-ml-models-into-web-apps/,2021-07-18,3214,0,"Beginner,Data Science,Libraries,Machine Learning,Model Deployment,Python,Streamlit"
86,86,shakhadri313,https://www.analyticsvidhya.com/blog/2021/07/learn-how-to-do-real-time-background-replacement-using-opencv-and-cvzone/,2021-07-06,3213,1,"Advanced,Computer Vision,Image,Project,Python"
87,88,karanpradhan266,https://www.analyticsvidhya.com/blog/2021/07/cook-the-data-for-your-machine-learning-algorithm-data-pre-processing/,2021-07-24,3207,1,"Beginner,Data Cleaning,Machine Learning,Project,Python,Structured Data"
88,89,Arnab1408,https://www.analyticsvidhya.com/blog/2021/08/complete-guide-on-how-to-use-lightgbm-in-python/,2021-08-18,3175,1,"Advanced,Algorithm,Machine Learning,Project,Python"
89,90,amitvkulkarni,https://www.analyticsvidhya.com/blog/2021/08/build-a-price-recommender-app-with-python/,2021-08-09,3103,1,"Advanced,Machine Learning,Project,Python"
90,91,shakhadri313,https://www.analyticsvidhya.com/blog/2021/07/building-a-hand-tracking-system-using-opencv/,2021-07-08,3079,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unstructured Data"
91,92,shivani46,https://www.analyticsvidhya.com/blog/2021/07/spam-detection-an-application-of-deep-learning/,2021-07-30,3028,1,"Advanced,Classification,NLP,Project,Python,Structured Data,Supervised"
92,93,saptarshi41,https://www.analyticsvidhya.com/blog/2021/07/plunging-into-deep-learning-carrying-a-red-wine/,2021-07-24,2942,1,"Advanced,Deep Learning,Project,Python"
93,94,mimi6,https://www.analyticsvidhya.com/blog/2021/07/topic-modelling-with-lda-a-hands-on-introduction/,2021-07-08,2939,1,"Advanced,Clustering,NLP,Project,Python,Text,Topic Modeling"
94,95,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/08/build-your-first-artificial-neural-networks-using-pytorch/,2021-08-15,2878,1,"Advanced,Deep Learning,Project,Python,Structured Data"
95,96,devashreesm,https://www.analyticsvidhya.com/blog/2021/07/diabetes-prediction-with-pycaret/,2021-07-27,2814,0,"Beginner,Classification,Data Science,Libraries,Machine Learning,Project,Python"
96,97,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/07/performing-multi-class-classification-on-fifa-dataset-using-keras/,2021-07-14,2777,1,"Beginner,Classification,Deep Learning,Python,Supervised"
97,98,shivani46,https://www.analyticsvidhya.com/blog/2021/08/introducing-panda-gym-understanding-the-reinforcement-learning/,2021-08-14,2702,1,"Advanced,Artificial Intelligence,Libraries,Python,Reinforcement Learning,Unsupervised"
98,99,kuldeep27396,https://www.analyticsvidhya.com/blog/2021/08/slack-data-engineering-design-and-architecture/,2021-08-10,2657,1,"Advanced,Big data,Data Engineering,Research &amp; Technology"
99,100,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/07/an-introduction-to-logistic-regression/,2021-07-11,2569,1,"Algorithm,Beginner,Classification,Data Science,Machine Learning,python"
100,101,lazy2choose,https://www.analyticsvidhya.com/blog/2021/08/why-must-text-data-be-pre-processed/,2021-08-01,2533,0,"Advanced,Libraries,NLP,Python,Text"
101,102,agrawal@71,https://www.analyticsvidhya.com/blog/2021/08/build-an-end-end-currency-convertor-chatbot-with-python-and-dialogflow/,2021-08-13,2448,1,"Advanced,chatbot,Data Science,NLP,Programming,Project,Python,Unstructured Data"
102,103,datanator,https://www.analyticsvidhya.com/blog/2021/08/exploratory-data-analysis-and-visualization-techniques-in-data-science/,2021-08-19,2425,0,"Beginner,Data Exploration,Data Visualization,Project,Python,Structured Data"
103,104,chirag676,https://www.analyticsvidhya.com/blog/2021/07/everything-you-should-know-about-iterables-and-iterators-in-python-as-a-data-scientist/,2021-07-06,2395,1,"Beginner,Programming,Python"
104,105,Ashi108,https://www.analyticsvidhya.com/blog/2021/07/in-depth-explanation-of-recurrent-neural-network/,2021-07-20,2311,0,"Deep Learning,Intermediate"
105,106,amruta99,https://www.analyticsvidhya.com/blog/2021/07/a-beginners-guide-to-mysql-part-2/,2021-07-10,2257,1,"Beginner,Data Engineering,Database,SQL"
106,107,bhanu_37,https://www.analyticsvidhya.com/blog/2021/08/the-concept-of-hypothesis-testing-in-probability-and-statistics/,2021-08-06,2245,0,"Beginner,Data Science,Statistics"
107,108,karanpradhan266,https://www.analyticsvidhya.com/blog/2021/07/a-comprehensive-guide-to-decision-trees/,2021-07-20,2240,1,"Beginner,Data Science,Machine Learning,Python,Structured Data"
108,109,muzammil24,https://www.analyticsvidhya.com/blog/2021/07/understanding-k-means-clustering-using-customer-segmentation/,2021-07-27,2229,0,"Beginner,Clustering,Data Science,Machine Learning,Pandas,Project,Python"
109,110,ssonia,https://www.analyticsvidhya.com/blog/2021/07/auto-encoders-limitations-and-its-applications/,2021-07-11,2203,1,"Autoencoder,Deep Learning,Intermediate,Python,Unsupervised"
110,111,priyapd2821,https://www.analyticsvidhya.com/blog/2021/08/lets-understand-all-about-data-wrangling/,2021-08-05,2139,0,"Beginner,Data Cleaning,Data Science,Pandas,Python"
111,112,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/07/some-advanced-opencv-functions-for-your-computer-vision-projects/,2021-07-23,2063,1,"Beginner,Computer Vision,Libraries,Python"
112,113,aishwarya283,https://www.analyticsvidhya.com/blog/2021/08/mlops-5-steps-you-need-to-know-to-implement-a-live-project/,2021-08-06,2061,0,"Beginner,MLops"
113,114,taha07,https://www.analyticsvidhya.com/blog/2021/07/data-visualization-using-seaborn-for-beginners/,2021-07-14,2049,1,"Beginner,Data Science,Data Visualization,Libraries,python"
114,115,sadhvianunaya,https://www.analyticsvidhya.com/blog/2021/08/data-preprocessing-in-data-mining-a-hands-on-guide/,2021-08-10,2041,0,"Beginner,Data Cleaning,Data Mining,Data Science,Python"
115,116,agrawal@71,https://www.analyticsvidhya.com/blog/2021/08/advance-statistics-concepts-for-data-science-enthusiasts/,2021-08-11,1969,1,"Data Exploration,Data Science,Intermediate,Python,Statistics"
116,117,pinak4,https://www.analyticsvidhya.com/blog/2021/07/titanic-survival-prediction-using-machine-learning/,2021-07-14,1960,1,"Beginner,Classification,Machine Learning,Project,Python"
117,117,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/07/know-how-to-give-cartoon-effects-to-your-photos-with-opencv/,2021-07-12,1959,1,"Beginner,Computer Vision,Image,Libraries"
118,119,chirag676,https://www.analyticsvidhya.com/blog/2021/07/working-with-modules-in-python-must-known-fundamentals-for-data-scientists/,2021-07-08,1949,1,"Beginner,Programming,Project"
119,120,Chrisx10,https://www.analyticsvidhya.com/blog/2021/07/machine-learning-workflow-using-mlflow-a-beginners-guide/,2021-07-10,1899,1,"Beginner,Data Science,Libraries,MLops"
120,121,shivani46,https://www.analyticsvidhya.com/blog/2021/07/the-best-mlops-tools-you-need-to-know-as-a-data-scientist/,2021-07-14,1868,1,NA
121,122,PrashantSharma16,https://www.analyticsvidhya.com/blog/2021/08/a-comprehensive-guide-to-conditional-statements-in-python-for-data-science-beginners/,2021-08-15,1803,0,"Beginner,Programming,Python"
122,123,shrish7,https://www.analyticsvidhya.com/blog/2021/07/the-measure-of-central-tendencies-in-statistics-a-beginners-guide/,2021-07-08,1722,1,"Beginner,Data Science,Statistics"
123,124,arkaghosh.nb@gmail.com,https://www.analyticsvidhya.com/blog/2021/08/building-a-data-pipeline-with-pyspark-and-aws/,2021-08-03,1690,1,"Advanced,Data Engineering,Project,Python"
124,125,kavita65,https://www.analyticsvidhya.com/blog/2021/07/numpy-a-hands-on-for-beginners/,2021-07-15,1683,1,"Beginner,Data Science,Libraries,Programming,Python"
125,126,Hardikkumar,https://www.analyticsvidhya.com/blog/2021/07/most-powerful-python-functions-apply-and-lambda/,2021-07-16,1670,1,"Beginner,Pandas,Programming,Python"
126,127,eugeniaring,https://www.analyticsvidhya.com/blog/2021/08/an-intuitive-guide-to-web-scraping-using-selenium/,2021-08-08,1663,1,"Advanced,Data Mining,Libraries,Project,Python"
127,128,chirag676,https://www.analyticsvidhya.com/blog/2021/07/deep-understanding-of-discriminative-and-generative-models-in-machine-learning/,2021-07-19,1628,1,"Advanced,Analytics Vidhya,Maths,Probability"
128,129,mimi6,https://www.analyticsvidhya.com/blog/2021/07/shipping-your-machine-learning-models-with-dockers/,2021-07-07,1605,1,"Advanced,Data Engineering,Docker,Machine Learning,Model Deployment"
129,129,agrawal@71,https://www.analyticsvidhya.com/blog/2021/07/time-series-forecasting-complete-tutorial-part-1/,2021-07-16,1604,1,"Beginner,Data Science,Machine Learning,Python,Time Series Forecasting"
130,131,lavanya02,https://www.analyticsvidhya.com/blog/2021/07/t-test-performing-hypothesis-testing-with-python/,2021-07-09,1562,0,"Beginner,Python,Statistics"
131,132,sunil_kumar27,https://www.analyticsvidhya.com/blog/2021/08/a-brief-introduction-to-linear-discriminant-analysis/,2021-08-18,1554,0,"Advanced,Machine Learning,Maths,Project,Python,Structured Data"
132,133,radathan1,https://www.analyticsvidhya.com/blog/2021/07/time-series-analysis-a-beginner-friendly-guide/,2021-07-11,1552,1,"Beginner,Data Science,Datetime,Machine Learning,Python,Time Series"
133,134,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/07/svm-support-vector-machine-algorithm/,2021-07-06,1514,1,"Algorithm,Beginner,Classification,Project,Python,Structured Data,Supervised"
134,135,kavita65,https://www.analyticsvidhya.com/blog/2021/07/pandas-a-hands-on-guide-for-beginners/,2021-07-23,1510,1,"Beginner,Data Exploration,Libraries,Pandas,Programming,Python"
135,136,neelutiwari,https://www.analyticsvidhya.com/blog/2021/07/a-brief-introduction-to-data-warehouse/,2021-07-06,1499,1,"Advanced,Cloud Computing,Data Engineering,Data Warehouse,python"
136,137,Tithi_Sreemany,https://www.analyticsvidhya.com/blog/2021/07/give-hermione-granger-a-cool-pair-of-glasses-by-building-snapchat-filter-using-opencv/,2021-07-19,1476,0,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unsupervised"
137,138,rajdeep4,https://www.analyticsvidhya.com/blog/2021/07/geometrical-approach-to-understand-logistic-regression/,2021-07-23,1443,0,"Beginner,Classification,Data Science,Machine Learning,Python"
138,139,shariarvg,https://www.analyticsvidhya.com/blog/2021/07/topic-modeling-with-naive-bayes-classifier/,2021-07-09,1417,0,"Beginner,Libraries,NLP,Python,Text,Topic Modeling"
139,140,chirag676,https://www.analyticsvidhya.com/blog/2021/07/10-useful-python-string-functions-every-data-scientist-should-know-about/,2021-07-18,1328,1,"Beginner,Data Science,Programming,Python"
140,141,ananda290,https://www.analyticsvidhya.com/blog/2021/08/twitter-based-gender-classification-a-machine-learning-project/,2021-08-11,1325,1,"Beginner,Classification,Machine Learning,Programming,Project,Python"
141,142,ganeshml93,https://www.analyticsvidhya.com/blog/2021/08/how-to-define-a-function-in-python/,2021-08-13,1260,0,"Beginner,Programming,Python"
142,143,abhishek1604,https://www.analyticsvidhya.com/blog/2021/07/predicting-the-wind-speed-using-k-neighbors-classifier/,2021-07-26,1240,0,"Beginner,Data Science,Machine Learning,Python"
