,rank,username,article_link,date,views,creator_club_status,article_cat
11,12,sion,https://www.analyticsvidhya.com/blog/2021/09/optimize-your-optimizations-using-optuna/,2021-09-03,5778,0,"Advanced,Deep Learning,Libraries,Python"
12,13,tithi_sreemany,https://www.analyticsvidhya.com/blog/2021/09/essential-text-pre-processing-techniques-for-nlp/,2021-09-03,5656,0,"Advanced,Data Cleaning,NLP,Python"
13,14,akansha_k,https://www.analyticsvidhya.com/blog/2021/09/the-power-of-python-map-reduce-and-filter-functional-programming-for-data-science/,2021-09-12,5618,0,"Beginner,Programming,Python"
14,15,devashreesm,https://www.analyticsvidhya.com/blog/2021/09/building-an-interactive-dashboard-using-bokeh-and-pandas/,2021-09-14,4869,0,"Beginner,Data Visualization,Libraries,Pandas,Python"
15,16,jissdeodates,https://www.analyticsvidhya.com/blog/2021/09/a-beginners-guide-to-image-processing-with-opencv-and-python/,2021-09-08,4806,0,"Beginner,Computer Vision,Image,Libraries,Python"
16,17,dhanya_thailappan,https://www.analyticsvidhya.com/blog/2021/08/understand-the-internal-working-of-apache-spark/,2021-08-26,4756,1,"Beginner,Data Engineering,Programming,Python,Spark"
17,18,shri_varsheni,https://www.analyticsvidhya.com/blog/2021/08/your-guide-to-object-detection-with-detectron2-in-pytorch/,2021-08-29,4445,1,"Advanced,Computer Vision,Deep Learning,Image,Object Detection,Project,Python,PyTorch"
18,19,lavanya@99,https://www.analyticsvidhya.com/blog/2021/08/ml-trained-predictive-model-with-a-django-api/,2021-08-28,4353,1,"Advanced,Data Engineering,Machine Learning,Project,Python"
19,20,soham07,https://www.analyticsvidhya.com/blog/2021/08/churn-prediction-commercial-use-of-data-science/,2021-08-24,3905,0,"Beginner,Classification,Data Science,Machine Learning,Python,Structured Data,Telecom"
20,21,ayush417,https://www.analyticsvidhya.com/blog/2021/09/some-amazing-applications-of-opencv-library/,2021-09-04,3617,0,"Beginner,Computer Vision,Image,Libraries,Python"
21,22,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/09/how-to-create-stunning-and-interactive-dashboards-in-excel/,2021-09-10,3361,1,"Beginner,Business Analytics,Data Visualization,Excel,Technique"
22,23,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/09/git-and-github-tutorial-for-beginners/,2021-09-01,3077,1,"Beginner,Programming,Technique"
23,24,anshul508,https://www.analyticsvidhya.com/blog/2021/09/adaboost-algorithm-a-complete-guide-for-beginners/,2021-09-15,2735,0,"Algorithm,Beginner,Machine Learning,Technique"
24,25,gourav29,https://www.analyticsvidhya.com/blog/2021/08/train-your-own-yolov5-object-detection-model/,2021-08-26,2662,1,"Advanced,Computer Vision,Deep Learning,Object Detection,Project,Python,Unstructured Data"
25,26,prashantsharma16,https://www.analyticsvidhya.com/blog/2021/08/trees-in-data-structure-every-data-scientist-should-know-about/,2021-08-29,2637,0,"Beginner,Programming"
26,27,kashish1,https://www.analyticsvidhya.com/blog/2021/09/performing-eda-of-netflix-dataset-with-plotly/,2021-09-04,2529,1,"Beginner,Data Exploration,Data Visualization,Libraries,Programming,Python,Structured Data"
27,28,anshul508,https://www.analyticsvidhya.com/blog/2021/09/naive-bayes-algorithm-a-complete-guide-for-data-science-enthusiasts/,2021-09-16,2185,0,"Beginner,Classification,Machine Learning,Python"
28,29,akansha_k,https://www.analyticsvidhya.com/blog/2021/09/hypothesis-testing-in-machine-learning-everything-you-need-to-know/,2021-09-09,2082,0,"Beginner,Machine Learning,Maths,Python,Statistics,Structured Data"
29,30,kaustubh1828,https://www.analyticsvidhya.com/blog/2021/09/how-to-extract-tabular-data-from-doc-files-using-python/,2021-09-15,2073,1,"Beginner,Programming,Python,Structured Data"
30,31,shivani46,https://www.analyticsvidhya.com/blog/2021/09/a-practical-guide-to-nlp-learning-text-classification-using-the-fasttext-library/,2021-09-13,1929,1,"Advanced,Classification,Libraries,Machine Learning,NLP,Project,Python,Unstructured Data"
31,31,megha152,https://www.analyticsvidhya.com/blog/2021/08/developing-a-course-recommender-system-using-python/,2021-08-25,1928,0,"Beginner,Data Science,Machine Learning,Project,Python,Recommendation,Structured Data"
32,33,kowligi7493263,https://www.analyticsvidhya.com/blog/2021/09/pca-and-its-underlying-mathematical-principles/,2021-09-05,1914,0,"Beginner,Data Exploration,Machine Learning,Maths,Python"
33,34,lavanya@99,https://www.analyticsvidhya.com/blog/2021/09/apache-cassandra-data-modelcql-schema-and-database-design/,2021-09-11,1718,1,"Advanced,Data Engineering,Python"
34,35,rashmi442,https://www.analyticsvidhya.com/blog/2021/09/lasso-and-ridge-regularization-a-rescuer-from-overfitting/,2021-09-15,1329,0,"Algorithm,Beginner,Bias and Variance,Machine Learning"
35,36,padav,https://www.analyticsvidhya.com/blog/2021/08/granger-causality-in-time-series-explained-using-chicken-and-egg-problem/,2021-08-22,1278,0,"Advanced,Algorithm,Machine Learning,Project,Python,Structured Data,Supervised,Technique,Time Series Forecasting"
36,37,pinak4,https://www.analyticsvidhya.com/blog/2021/09/build-your-first-discord-bot-using-python/,2021-09-07,1200,1,"Beginner,chatbot,NLP,Programming,Python"
37,38,kajal56,https://www.analyticsvidhya.com/blog/2021/08/text-preprocessing-techniques-for-performing-sentiment-analysis/,2021-08-27,997,1,"Beginner,Data Cleaning,NLP,Programming,Python,Text,Unstructured Data"
38,39,sourav6458,https://www.analyticsvidhya.com/blog/2021/08/an-introduction-to-data-analysis-using-spark-sql/,2021-08-30,940,0,"Beginner,Data Engineering,Data Exploration,Libraries,Project,Python"
39,40,sion,https://www.analyticsvidhya.com/blog/2021/09/programming-in-r-from-variables-to-visualizations/,2021-09-14,882,0,"Beginner,Data Visualization,Machine Learning,Programming,R"
40,41,pavankalyan9065,https://www.analyticsvidhya.com/blog/2021/08/must-know-pandas-functions-for-machine-learning-journey/,2021-08-25,860,1,"Beginner,Data Cleaning,Data Exploration,Libraries,Machine Learning,Pandas,Programming,Python,Structured Data"
41,42,amitvkulkarni,https://www.analyticsvidhya.com/blog/2021/08/create-a-python-app-to-measure-customer-lifetime-value-clv/,2021-08-28,710,1,"Advanced,Machine Learning,Project,Python,Structured Data,Supervised"
42,43,shivani46,https://www.analyticsvidhya.com/blog/2021/08/beginners-guide-to-k-means-clustering/,2021-08-23,700,1,"Beginner,Clustering,Data Science,Machine Learning,Python,Unsupervised"
43,44,nilanjan6182121,https://www.analyticsvidhya.com/blog/2021/09/natural-language-processing-using-cnns-for-sentence-classification/,2021-09-02,690,0,"Advanced,Classification,Deep Learning,NLP,Text"
44,45,harsh1092,https://www.analyticsvidhya.com/blog/2021/08/pratically-demistifying-bert-language-representation-model/,2021-08-28,685,0,"Advanced,NLP,Project,Python,Text,Unstructured Data,Unsupervised"
45,46,tanushree-biswal083,https://www.analyticsvidhya.com/blog/2021/08/best-practices-and-performance-tuning-activities-for-pyspark/,2021-08-26,680,0,"Advanced,Data Engineering,Python"
46,47,megha152,https://www.analyticsvidhya.com/blog/2021/08/create-stock-exchange-dashboard-using-dash-in-python/,2021-08-27,601,0,"Beginner,Data Visualization,Libraries,Programming,Python,Structured Data"
47,48,arnab1408,https://www.analyticsvidhya.com/blog/2021/09/a-complete-guide-to-understand-classification-in-machine-learning/,2021-09-09,583,0,"Beginner,Classification,Machine Learning,Python,Supervised"
48,49,prashantsharma16,https://www.analyticsvidhya.com/blog/2021/08/everything-a-beginner-should-know-about-classes-and-objects-in-python-before-starting-your-data-science-journeywith-examples/,2021-08-24,572,0,"Beginner,Programming,Python"
49,50,megha152,https://www.analyticsvidhya.com/blog/2021/09/pypdf2-library-for-working-with-pdf-files-in-python/,2021-09-02,565,0,"Beginner,Project,Python"
50,51,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/09/loops-and-control-statements-an-in-depth-python-tutorial/,2021-09-03,548,1,"Beginner,Programming,Python"
51,52,prashantsharma16,https://www.analyticsvidhya.com/blog/2021/09/searching-in-data-structure-different-search-methods-explained/,2021-09-02,543,0,"Beginner,Programming,Python"
52,53,nasima,https://www.analyticsvidhya.com/blog/2021/08/understanding-gradient-descent-algorithm-and-the-maths-behind-it/,2021-08-26,538,0,"Algorithm,Beginner,Core ML,Data Science,Machine Learning,Maths,Python"
53,54,jnk789,https://www.analyticsvidhya.com/blog/2021/08/linear-regression-and-gradient-descent-in-pytorch/,2021-08-28,527,0,"Algorithm,Beginner,Libraries,Machine Learning,Project,Python,PyTorch,Regression,Structured Data,Supervised"
54,55,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/08/sharpening-an-image-using-opencv-library-in-python/,2021-08-26,488,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unstructured Data,Unsupervised"
55,56,ananyacy,https://www.analyticsvidhya.com/blog/2021/09/important-documents-prepared-by-a-business-analyst/,2021-09-15,469,1,"Beginner,Business Analytics,Profile Building"
56,57,shivani46,https://www.analyticsvidhya.com/blog/2021/09/serverless-tensorflow-on-aws-lambda-a-tutorial-for-beginners/,2021-09-08,458,1,"Advanced,AWS,Cloud Computing,Deep Learning,MLops,Technique"
57,58,kingabzpro,https://www.analyticsvidhya.com/blog/2021/08/gradient-descent-design-your-first-machine-learning-model/,2021-08-23,452,1,"Beginner,Data Science,Machine Learning,Python"
58,59,dhanya_thailappan,https://www.analyticsvidhya.com/blog/2021/08/understanding-the-basics-of-apache-spark-rdd/,2021-08-30,446,1,"Advanced,Data Engineering,Machine Learning,Programming,Python"
59,60,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-object-oriented-programming-system-oops-part-1/,2021-08-24,419,1,"Beginner,Programming,Python"
60,61,shikha4045189,https://www.analyticsvidhya.com/blog/2021/08/python-and-mysql-a-practical-introduction-for-data-analysis/,2021-08-25,396,0,"Beginner,Data Engineering,Database,Programming,Python,SQL,Structured Data"
61,62,shruti1399,https://www.analyticsvidhya.com/blog/2021/09/image-segmentation-algorithms-with-implementation-in-python/,2021-09-10,392,0,"Computer Vision,Deep Learning,Image,Intermediate,Libraries,Python,Unstructured Data"
62,63,shivani46,https://www.analyticsvidhya.com/blog/2021/09/forecasting-financial-time-series-a-model-of-mlp-in-keras/,2021-09-03,387,1,"Data Science,Deep Learning,Intermediate,Python,Time Series,Time Series Forecasting"
63,63,lavanya@99,https://www.analyticsvidhya.com/blog/2021/09/unit-test-framework-and-test-driven-development-tdd-in-python/,2021-09-02,386,1,"Beginner,Project,Python"
64,65,kajal56,https://www.analyticsvidhya.com/blog/2021/09/sentiment-classification-using-nlp-with-text-analytics/,2021-09-01,381,1,"Beginner,Classification,Data Science,NLP,Project,Python,Text"
65,65,amitvkulkarni,https://www.analyticsvidhya.com/blog/2021/09/how-to-evaluate-the-business-value-of-ml-model/,2021-09-14,380,1,"Intermediate,Machine Learning,Python,Technique"
66,67,kajal56,https://www.analyticsvidhya.com/blog/2021/09/web-traffic-forecasting-using-deep-learning/,2021-09-09,378,1,"Deep Learning,Intermediate,Project,Python,Structured Data,Time Series Forecasting"
67,67,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/09/creating-a-movie-reviews-classifier-using-tf-idf-in-python/,2021-09-06,377,1,"Beginner,Classification,NLP,Project,Python,Text"
68,69,shikha4045189,https://www.analyticsvidhya.com/blog/2021/08/caching-in-python-the-lru-algorithm/,2021-08-24,364,0,"Intermediate,Programming,Python,Technique"
69,70,hardikkumar,https://www.analyticsvidhya.com/blog/2021/08/hierarchical-clustering-algorithm-python/,2021-08-25,350,0,"Beginner,Clustering,Data Science,Machine Learning,Python,Unsupervised"
70,70,shikha4045189,https://www.analyticsvidhya.com/blog/2021/08/how-nested-functions-are-used-in-python/,2021-08-24,349,0,"Beginner,Programming,Python"
71,72,rendyk,https://www.analyticsvidhya.com/blog/2021/09/10-automated-machine-learning-for-supervised-learning-part-2/,2021-09-05,342,1,"Automl,Beginner,Data Science,Libraries,Machine Learning,Python"
72,73,yasho_191,https://www.analyticsvidhya.com/blog/2021/08/how-to-code-your-resnet-from-scratch-in-tensorflow/,2021-08-26,327,0,"Intermediate,Project,Python,Unstructured Data"
73,74,shivani46,https://www.analyticsvidhya.com/blog/2021/08/audio-analysis-voice-identification-using-scinet/,2021-08-28,316,1,"Advanced,Audio,Libraries,Project,Python,Unstructured Data,Unsupervised"
74,75,nithyashree3,https://www.analyticsvidhya.com/blog/2021/09/what-are-n-grams-and-how-to-implement-them-in-python/,2021-09-13,310,0,"Beginner,Machine Learning,NLP,Python"
75,76,mayurbadole2407,https://www.analyticsvidhya.com/blog/2021/09/why-geometric-intuition-of-logistic-regression-matters-more-than-other-intuitions/,2021-09-08,302,1,"Beginner,Machine Learning,Maths,Regression"
76,77,gourav29,https://www.analyticsvidhya.com/blog/2021/09/improving-image-quality-for-computer-vision-tasks/,2021-09-02,294,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unstructured Data,Unsupervised"
77,78,akansha_k,https://www.analyticsvidhya.com/blog/2021/09/q-q-plot-ensure-your-ml-model-is-based-on-the-right-distributions/,2021-09-06,292,0,"Beginner,Data Exploration,Probability,Statistics,Structured Data"
78,79,srijita_tiwari,https://www.analyticsvidhya.com/blog/2021/09/getting-started-with-graph-neural-networks/,2021-09-06,285,0,"Advanced,Artificial Intelligence,Deep Learning,Graphs &amp; Networks,Programming"
79,80,ashish0765,https://www.analyticsvidhya.com/blog/2021/08/quick-start-with-tensorflow-callbacks/,2021-08-31,281,0,"Deep Learning,Libraries,Programming,Python"
80,80,dulari,https://www.analyticsvidhya.com/blog/2021/09/active-contours-a-method-for-image-segmentation-in-computer-vision/,2021-09-13,281,0,"Advanced,Computer Vision,Image,Machine Learning,Maths,Python,Use Cases"
81,82,shivani46,https://www.analyticsvidhya.com/blog/2021/09/object-detection-with-yolov3-with-tensorflow-2-0/,2021-09-07,271,1,"Advanced,Computer Vision,Deep Learning,Object Detection,Project,Python"
82,83,pritesh1,https://www.analyticsvidhya.com/blog/2021/09/an-explanatory-guide-to-bert-tokenizer/,2021-09-09,268,0,"Advanced,Data Science,Deep Learning,Libraries,NLP,Python,Text"
83,83,shivani46,https://www.analyticsvidhya.com/blog/2021/08/advanced-computer-vision-introduction-to-direct-visual-tracking/,2021-08-29,268,1,"Advanced,Computer Vision,Deep Learning,Maths,Object Tracking"
84,83,gourav29,https://www.analyticsvidhya.com/blog/2021/09/an-introductory-guide-to-big-data-analytics/,2021-09-06,268,1,"Beginner,Big data"
85,86,sreedevig,https://www.analyticsvidhya.com/blog/2021/09/how-to-visualise-data-in-maps-using-geopandas/,2021-09-16,266,0,"Data Visualization,Intermediate,Libraries,Python"
86,87,gourav29,https://www.analyticsvidhya.com/blog/2021/09/introduction-to-artificial-neural-networks/,2021-09-06,264,1,"Beginner,Classification,Deep Learning,Python,Structured Data,Supervised"
87,88,r-sajal,https://www.analyticsvidhya.com/blog/2021/09/how-to-apply-k-fold-averaging-on-deep-learning-classifier/,2021-09-16,260,1,"Beginner,Deep Learning,Programming,Project,Python,Technique"
88,88,shivani46,https://www.analyticsvidhya.com/blog/2021/08/exploring-deep-learning-libraries-keras/,2021-08-31,260,1,"Advanced,Deep Learning,Libraries,Programming,Python"
89,90,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/what-are-functions-in-python-how-to-create-functions-in-python/,2021-08-26,252,1,"Beginner,Programming,Python"
90,90,siddharth1698,https://www.analyticsvidhya.com/blog/2021/09/convolutional-neural-network-pytorch-implementation-on-cifar10-dataset/,2021-09-08,252,0,"Computer Vision,Deep Learning,Image,Intermediate,Programming,Python,PyTorch"
91,90,radathan1,https://www.analyticsvidhya.com/blog/2021/08/learn-and-build-your-first-generative-adversarial-network/,2021-08-31,251,1,"Advanced,Deep Learning,Image,Image Analysis,Project,Python"
92,93,shivani46,https://www.analyticsvidhya.com/blog/2021/08/functools-the-power-of-higher-order-functions-in-python/,2021-08-25,248,1,"Beginner,Libraries,Programming,Python"
93,94,jnk789,https://www.analyticsvidhya.com/blog/2021/08/an-introduction-to-natural-language-processing-with-transformers/,2021-08-26,244,0,"Beginner,Deep Learning,Libraries,NLP,Python,Text"
94,95,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-object-oriented-programming-system-oops-part-2/,2021-08-25,242,1,"Beginner,Programming,Python"
95,96,jnk789,https://www.analyticsvidhya.com/blog/2021/09/a-deep-dive-into-transformers-library/,2021-09-06,240,0,"Advanced,Deep Learning,Libraries,NLP,Python,Unstructured Data"
96,96,pritesh1,https://www.analyticsvidhya.com/blog/2021/09/torch-dataset-and-dataloader-early-loading-of-data/,2021-09-07,240,0,"Deep Learning,Intermediate,Libraries,Programming,Python,Technique"
97,98,shivani46,https://www.analyticsvidhya.com/blog/2021/09/introduction-to-data-engineering-etl-star-schema-and-airflow/,2021-09-01,232,1,"Beginner,Big data,Data Engineering,Data Warehouse"
98,98,sethneha,https://www.analyticsvidhya.com/blog/2021/09/beginners-guide-to-anomaly-detection-using-self-organizing-maps/,2021-09-16,231,1,"Advanced,Clustering,Deep Learning,Technique"
99,100,kingabzpro,https://www.analyticsvidhya.com/blog/2021/09/deep-learning-model-to-predict-mrna-degradation/,2021-09-04,229,1,"Advanced,Data Science,Deep Learning,Project,Python,Regression"
100,101,grey_197,https://www.analyticsvidhya.com/blog/2021/09/ordinary-differential-equations-made-easy-with-deep-learning/,2021-09-10,226,0,"Advanced,Maths"
101,102,kingabzpro,https://www.analyticsvidhya.com/blog/2021/09/simple-image-classification-using-fastai-jl/,2021-09-09,215,1,"Advanced,Classification,Computer Vision,Deep Learning,Image,Julia,Libraries,Project,Python"
102,103,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/08/advanced-opencv-blurring-an-image-using-the-renowned-opencv-library/,2021-08-25,211,1,"Advanced,Computer Vision,Image,Image Analysis,Libraries,Project,Python,Unsupervised"
103,104,shivani46,https://www.analyticsvidhya.com/blog/2021/08/hand-pose-estimation-based-on-lidar-in-30-minutes/,2021-08-29,203,1,"Advanced,Computer Vision,Image,Programming,Project,Python"
104,105,shivani46,https://www.analyticsvidhya.com/blog/2021/09/exploring-docker-internals-unified-filesystem/,2021-09-06,198,1,"Advanced,Model Deployment,Programming,Technique"
105,106,shivani46,https://www.analyticsvidhya.com/blog/2021/08/debugging-with-idle-find-and-fix-bugs-in-your-python-code/,2021-08-26,191,1,"Beginner,Programming,Python"
106,107,datanator,https://www.analyticsvidhya.com/blog/2021/09/onevsrest-classifier-for-predicting-multiple-tags-of-research-articles/,2021-09-16,177,0,"Advanced,NLP,Project,Python"
107,108,siddharth1698,https://www.analyticsvidhya.com/blog/2021/09/building-resnet-34-model-using-pytorch-a-guide-for-beginners/,2021-09-14,175,0,"Advanced,Deep Learning,Project,Python,PyTorch"
108,109,shreya055,https://www.analyticsvidhya.com/blog/2021/08/load-dataset-directly-into-colab-from-anywhere-on-the-browser-using-curlwget-extension/,2021-08-25,173,0,"Cloud Computing,Intermediate"
109,110,subhasisdasgupta,https://www.analyticsvidhya.com/blog/2021/09/latent-semantic-analysis-and-its-uses-in-natural-language-processing/,2021-09-16,168,0,"Beginner,Machine Learning,NLP,Python,Unstructured Data"
110,110,shivani46,https://www.analyticsvidhya.com/blog/2021/09/asynchronous-loading-of-large-datasets-in-tensorflow/,2021-09-08,167,1,"Advanced,Deep Learning,Libraries,Programming,Python,Technique"
111,112,priya603,https://www.analyticsvidhya.com/blog/2021/09/color-perception-how-to-produce-dark-blue-without-a-hint-of-purple/,2021-09-04,164,1,"Beginner,Image,Programming,Python,Technique"
112,113,shivani46,https://www.analyticsvidhya.com/blog/2021/08/tensorflow-an-impressive-deep-learning-library/,2021-08-26,162,1,"Beginner,Data Science,Deep Learning,Libraries,Python"
113,114,pavankalyan9065,https://www.analyticsvidhya.com/blog/2021/09/pycaret-vs-catboost-on-soccer-fever-classification-dataset/,2021-09-09,151,1,"Automl,Beginner,Classification,Libraries,Machine Learning,Project,Python,Technique"
114,115,shivani46,https://www.analyticsvidhya.com/blog/2021/08/a-technical-approach-to-understanding-brain-computer-interfaces-using-mne-deep-learning/,2021-08-26,135,1,"Advanced,Deep Learning,Healthcare,Image,Image Analysis,Libraries,Project,Python,Structured Data,Unstructured Data"
115,116,ayush417,https://www.analyticsvidhya.com/blog/2021/09/using-the-right-file-format-for-storing-data/,2021-09-08,133,0,"Beginner,Programming,Python"
116,117,shivani46,https://www.analyticsvidhya.com/blog/2021/09/training-and-testing-neural-networks-on-pytorch-using-ignite/,2021-09-10,125,1,"Advanced,Classification,Deep Learning,Libraries,Project,Python,PyTorch"
117,117,shivani46,https://www.analyticsvidhya.com/blog/2021/09/how-to-make-a-summarizer-using-the-trax-library-of-deep-learning/,2021-09-01,124,1,"Advanced,Data Science,Deep Learning,Libraries,NLP,Project,Python,Text,Unsupervised"
118,119,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/09/understanding-image-contrast-with-opencv-in-python/,2021-09-06,118,1,"Beginner,Computer Vision,Image,Python"
119,120,destoyer-byte,https://www.analyticsvidhya.com/blog/2021/09/advanced-image-contrast-the-pixel-intensity-histogram/,2021-09-06,111,1,"Beginner,Computer Vision,Image,Libraries,Python,Technique"
120,121,shivani46,https://www.analyticsvidhya.com/blog/2021/09/hybrid-use-of-rdbms-and-nosql-for-the-transcriptome-data-processing/,2021-09-01,100,1,"Advanced,Data Engineering,Database,NoSQL,Project,SQL"
121,122,shivani46,https://www.analyticsvidhya.com/blog/2021/09/sql-in-djangoorm-with-example-code-implementation/,2021-09-01,91,1,"Beginner,Data Engineering,Programming,Python,SQL,Structured Data"
122,123,Mayur Badole,https://www.analyticsvidhya.com/blog/2021/08/why-geometric-intuition-of-logistic-regression-matters-more-than-other-intuitions/,2021-08-30,20,0,NA
